Rule,Accuracy,#Times_Used,Rule Decision
20,0.506319703,1345,1
36,0.40546697,439,0
18,0.2,305,0
39,0.225225225,222,0
28,0,103,1
32,0,60,1
19,0.260869565,69,0
21,0.3625,80,0
5,0.233333333,60,0
27,0.81294964,139,1
33,0,21,1
35,0,20,1
15,0,11,1
30,0,8,1
10,0,6,1
40,0,2,1
41,0,2,1
6,0,2,1
7,0,1,1
26,0,1,1
37,0,1,1
23,0,1,1
12,0,1,1
2,0,1,1
24,1,1,0
31,1,2,0
4,1,2,0
11,1,3,0
22,1,4,0
16,1,4,0
14,1,6,0
29,1,8,0
25,1,10,0
1,1,11,0
34,1,17,0
38,1,21,0
9,1,47,0
0,1,81,0
8,1,121,0
